asset_id,timestamp,latitude,longitude,speed,anomaly
Asset_1,2025-08-25 21:39:28.228033,37.77910906406415,-122.41784354042169,57.21658631989216,0
Asset_1,2025-08-25 21:40:28.228033,37.78270823622622,-122.41689544291924,54.43181382372458,0
Asset_1,2025-08-25 21:41:28.228033,37.78322743911501,-122.41555852084171,54.87256325564001,0
Asset_1,2025-08-25 21:42:28.228033,37.78694175868202,-122.41060132442192,41.19144994485519,0
Asset_1,2025-08-25 21:43:28.228033,37.78807018383952,-122.40688679363562,29.09287452116702,0
Asset_1,2025-08-25 21:44:28.228033,38.732415755549326,-121.61189465827286,102.6327817857982,1
Asset_1,2025-08-25 21:45:28.228033,39.35502830678755,-121.05731225936877,91.27266222496567,1
Asset_1,2025-08-25 21:46:28.228033,39.35602607855762,-121.05514263053067,36.1622235418935,0
Asset_1,2025-08-25 21:47:28.228033,39.35494841673644,-121.05366278898056,44.16220899491832,0
Asset_1,2025-08-25 21:48:28.228033,39.36294322182139,-121.05142027042486,39.7816402201816,0
Asset_1,2025-08-25 21:49:28.228033,39.36329499093749,-121.05084824167365,24.14942025464821,0
Asset_1,2025-08-25 21:50:28.228033,39.364654612983706,-121.05116534235133,32.51157629922013,0
Asset_1,2025-08-25 21:51:28.228033,39.37000258789713,-121.05400787304052,68.47852222557687,0
Asset_1,2025-08-25 21:52:28.228033,39.368432693536725,-121.04839943049002,26.837878736232703,0
Asset_1,2025-08-25 21:53:28.228033,39.372184332881766,-121.04835517069027,29.604465869224192,0
Asset_1,2025-08-25 21:54:28.228033,39.36977593202352,-121.05036879158563,32.09569939295635,0
Asset_1,2025-08-25 21:55:28.228033,39.369510978677596,-121.05042829458573,43.20973864082215,0
Asset_1,2025-08-25 21:56:28.228033,39.368909962292015,-121.0513767547763,62.432864591432626,0
Asset_1,2025-08-25 21:57:28.228033,39.36893940015567,-121.0538265249208,29.736870163876816,0
Asset_1,2025-08-25 21:58:28.228033,39.373402539239216,-121.05186610572223,31.267599495442752,0
Asset_1,2025-08-25 21:59:28.228033,39.374912949689474,-121.0490017604825,41.74388708385011,0
Asset_1,2025-08-25 22:00:28.228033,39.375594444202164,-121.04926644109887,42.15013015523303,0
